ORIGINAL_INDEX,CONTENT,LABEL,SUBJECT
377,"Re: [DISCUSS] CEP-10: Cluster and Code Simulations Ach, editing code in the email editor isn�t smart when editors all have different meanings for key combinations (accidentally hit send), but you get the idea. The simulator would intercept these thread executions, the memory accesses for the annotated field, and evaluate them so that in some cases the assertions would fail. This is obviously a toy example that is not very interesting, but the main real example we have is too complicated to produce a snippet to demonstrate. In my view, the long term outcome of this work is likely the enablement of many unit tests that are a little more complicated than this, on less obvious code. But the headline goal of the CEP is not. By itself, the LWT Verifier demonstrates the power and utility of the work. I don�t believe it is terribly helpful to focus on secondary justifications like the example I gave. For me, the _ability_ to prove the correctness of difficult but critical systems is justification enough, whether or not we deliver a simple API as part of the CEP. ",existence,Re: [DISCUSS] CEP-10: Cluster and Code Simulations
378,"Re: [DISCUSS] CEP-10: Cluster and Code Simulations No, in my opinion the target should be 4.0.x. We are reaching for a shippable trunk and this has no public API impacts. This work is IMO central to achieving a shippable trunk, either way. The only reason I do not target 3.x is that it would be too burdensome. I�ve never heard this position before. Would you care to elaborate? It is quite normal for us to update tests alongside changes to the code. 1) This work is to _enable_ the development of tests, with the only test originally planned to arrive alongside it the fairly sophisticated LWT Verifier. This is something we have sorely needed as a project, as we have had serious correctness violations for multiple years. This broad category of integrated test for verifying correctness is the main goal of the work and is not easily condensed into an example snippet. 2) It is _possible_ that some simple and fluid APIs will be introduced in a later phase of this work, but they haven�t been designed yet, so I cannot share snippets. In principle, however, you would be able to do something like: @Nemesis volatile int x = 0; int foo() { x = x + 1; return x; } @Test void test() { Future f1 = executor.submit(() -> foo()); Future f2 = executor.submit(() -> foo()); Assert.assertTrue(f1.get() == 1 || f2.get() == 1); } ",not-ak,Re: [DISCUSS] CEP-10: Cluster and Code Simulations
379,"Re: [DISCUSS] CEP-10: Cluster and Code Simulations Should target release be 4.1. (not 4.0.x) ? I'd be interested in seeing a rough timeline/plan of how the proposed changes are to be defined in JIRAs and ordered. I'd like to hear a bit more about the test plan. Not so much about how the CEP itself improves testability of the project, but for example the testing required to be in place to introduce the changes of the CEP (and if it already exists, where). My concern is that changing code and tests at the same time risks regressions� And seconding Benjamin's comments� some documentation on how to write a test, and a simple test example, that this CEP then allows us to write would help a lot (a la ""working backwards""). --------------------------------------------------------------------- To unsubscribe, e-mail: dev-unsubscribe@cassandra.apache.org For additional commands, e-mail: dev-help@cassandra.apache.org",not-ak,Re: [DISCUSS] CEP-10: Cluster and Code Simulations
380,"Re: [DISCUSS] CEP-10: Cluster and Code Simulations Hi Benjamin, The concurrency constructs listed are all _blocking_ concurrency primitives, i.e. they put threads to sleep and wake them up. Since the goal of this work is pseudorandom execution of the application, trapping thread events is a central feature. The ability to mock the file system is only to ensure the execution is _deterministic_. Otherwise a cluster running billions of simulations would be almost useless, as you would not readily be able to reproduce the sequence on a local machine. The execution order is extremely brittle, with even a different patch release of the JVM being able to produce a different sequence of execution (in some cases, at least � no doubt many patch releases do not have ordering impacts). The best example of this work is the LWT linearizability verifier that will be included with it, which is quite a simple test to put together with the simulator: you simply issue some LWT reads and writes to a cluster, and the simulator intercepts* every message and thread (and in some specific relevant cases, memory access) event, and executes them in pseudorandom order. Each run exhibits unique behaviour, exploring different edge cases in the system. If we were to only intercept message events, we would fail to explore a wide variety of potentially erroneous states in the system � including even those only related to message delivery (in the real world, responses can be received before the thread sending them completes the act of doing so, for instance). ",existence,Re: [DISCUSS] CEP-10: Cluster and Code Simulations
381,"Re: [DISCUSS] CEP-10: Cluster and Code Simulations Hi Benedict, Sam, Could you describe some of the scenarios that this new framework will allow us to test ? They might help me to understand the changes required. The need for the changes around concurrency and file access is not obvious to me. By consequence, I am guessing that I probably do not fully understand the goal of the proposal. Thanks in advance Benjamin Le mar. 13 juil. 2021 � 10:37, Sam Tunnicliffe a �crit :",not-ak,Re: [DISCUSS] CEP-10: Cluster and Code Simulations
382,"Re: [DISCUSS] CEP-10: Cluster and Code Simulations Spoiler alert: I am pretty familiar with the proposal and the off-list work that has been done toward it. From my perspective, I have no qualms about putting this CEP up for a vote. Having seen the potential (and to some degree, realised) benefit of this proposal, I am convinced of its value. Thanks, Sam --------------------------------------------------------------------- To unsubscribe, e-mail: dev-unsubscribe@cassandra.apache.org For additional commands, e-mail: dev-help@cassandra.apache.org",not-ak,Re: [DISCUSS] CEP-10: Cluster and Code Simulations
383,"Re: [DISCUSS] CEP-10: Cluster and Code Simulations Did anyone have any thoughts on this CEP, or shall I bring it forward for a vote also? ",not-ak,Re: [DISCUSS] CEP-10: Cluster and Code Simulations
384,"Re: [DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units Looks like we all agree on option 1. I have submitted a patch to the trunk branch. It unifies the duration unit and defaults to micros. As a result, all timers will start to record time values in micros instead of nanos. Please let me know if there is any concern with the change. - Yifan ",existence,Re: [DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units
385,"Re: [DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units Timer is currently backed by a DecayingEstimatedHistogramReservoir. [1] Each DecayingEstimatedHistogramReservoir defaults to allocate [2] 1. *bucketOffsets*: a long array with the length of 164 2. *decayingBuckets*: a long array with the length of 165 * 2 3. *buckets*: a long array with the length of 165 * 2 Each timer instance consumes 6592 bytes roughly. (Only counting the long arrays, which are the main contributors) There are a bunch of timers, per verb, per keyspace, per table, etc. Although adding them up might still not be a concern. As mentioned, recording in the micros can halve the memory usage. Not a significant saving compared with other components, but still good to have if nanos is not necessary. The major benefit is making the duration unit consistent. [1] https://github.com/apache/cassandra/blob/aac6f7db8c8f493b8e28842903e6e2cb6838ac75/src/java/org/apache/cassandra/metrics/CassandraMetricsRegistry.java#L101 [2] https://github.com/apache/cassandra/blob/aac6f7db8c8f493b8e28842903e6e2cb6838ac75/src/java/org/apache/cassandra/metrics/DecayingEstimatedHistogramReservoir.java#L79 ",existence,Re: [DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units
386,Re: [DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units +1 to unifying on the same unit for API consistency; micros should be quite fine for most if not all of our use-cases. ,existence,Re: [DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units
387,Re: [DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units ,not-ak,Re: [DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units
388,"Re: [DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units I'm for (1) if this is for 4.1 only. Changes like this over our annual releases should be fine if they are clearly documented, it's what NEWS.txt is for. I'm curious to know any rough idea of how much memory the Timers can currently use, and which timers we think still need the nano resolution. --------------------------------------------------------------------- To unsubscribe, e-mail: dev-unsubscribe@cassandra.apache.org For additional commands, e-mail: dev-help@cassandra.apache.org",executive,Re: [DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units
389,"[DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units Hi, In the current codebase, JMXTimer exposes its attributes in inconsistent time units. The percentiles, Mean and DurationUnit attributes are using micros. But the Values and RecentValues are based on nanos, since the underlying Timer collects the time values in nanos. The inconsistency leads to confusion and misinterpretation of the values, if the end user is not familiar with the implementation details. One may consider the Values and RecentValues are also in micros as mentioned in the DurationUnit. Besides the confusion, given the intention is to record the time values in the micros resolution, we do not need to allocate 165 buckets in the DecayingEstimatedHistogramReservoir. 165 buckets is necessary for nanos, but not for micros. We can only allocate 90 buckets and it should reduce ~50% memory footprint used by the Timers. It is relatively a small change to unify the exposed values in the same unit. But it changes the exposed metrics API, I'd like to start the discussion thread to gather your opinions. And hope to avoid breaking your tooling. There are several options (all for timers specifically): 1. Enforce the consistency of the time unit. - Change all JMXTimers to store values in micros and reduce the bucket size to 90. The change has no impact on reading the statistics. But the long[] of Values and RecentValues is reduced to 91, and the values are based on micros. - Change all JMXTimer to store values in nanos. The change makes the percentiles, mean values returned in nanos. But has no impact on the histogram raw values, i.e., Values and RecentValues. 2. Having a toggle to either keep the current inconsistency or records all in micros. This is less invasive than option 1. And it does not affect your monitoring tooling if it reads the Values (histogram raw values) at nanos resolution. I'd prefer option 1. So the DurationUnit attribute correctly annotates the other attributes from the JMXTimer. For most of the timers, we do not need the nanos resolution. Recording them in micros halves the memory footprint for timers. If some timers do need the nanos resolution, the duration unit can be changed to nanos. The external process that reads the attributes can correctly interpret the values based on the duration unit. Thoughts? - Yifan",existence,[DISCUSS] CASSANDRA-16760 - JMXTimer exposes attributes in inconsistent time units
391,"Additions to Cassandra ecosystem page? Hi all, The Cassandra community recently updated its website and has added several new entries to the Ecosystem page: https://cassandra.apache.org/ecosystem/. If you have edits or know of other third-party Cassandra projects, tools, products, etc that may be useful to others -- please get in touch and we'll add to the next round of site updates in July. Thanks! Melissa Apache Cassandra Contributor",not-ak,Additions to Cassandra ecosystem page?
393,"Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 Thanks all for the input! I released the maven artifacts earlier today, so soon you should be able to use the 3.3.1 dependencies in downstream applications. The official website is refreshed to include 3.3.1: https://hadoop.apache.org/ The tarball was uploaded and verified the links are good to go. Will send out the announcement to the user mailing list later. ",not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
394,"Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 --------------------------------------------------------------------- To unsubscribe, e-mail: mapreduce-dev-unsubscribe@hadoop.apache.org For additional commands, e-mail: mapreduce-dev-help@hadoop.apache.org",not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
395,"Re: Are we ready for 4.0.0 (GA) ? I think, given your revised statements around the bugs discovered with the flaky tests, and given that these don�t seem to have been serious bugs, I�m comfortable with a two week period post-RC2. ",not-ak,Re: Are we ready for 4.0.0 (GA) ?
396,"Re: Are we ready for 4.0.0 (GA) ? I do not disagree with that. I just would like to see us more precise with our expectations for releasing 4.0 GA, considering that we have already deeply tested the code. Would it make sense to say: ""Let's give us 1 or 2 weeks to test RC-2. If no blocker shows up we can release 4.0 GA"" ? Le mar. 15 juin 2021 � 12:25, benedict@apache.org a �crit :",not-ak,Re: Are we ready for 4.0.0 (GA) ?
397,"Re: Are we ready for 4.0.0 (GA) ? That popularity line is a lot more stable than I would have expected, honestly, given the huge shifts in the database landscape in the intervening years. Though of course I�m sure we�d all rather it were trending upwards. I think the release of 4.0 is likely to have minimal impact on that, though � future project developments are going to determine the project�s success, I expect. Plus maybe a new logo ? Still, not disputing the need to ship GA soon. We do have to cut another RC given the seriousness of CASSANDRA-16735 though, right? ",not-ak,Re: Are we ready for 4.0.0 (GA) ?
398,"Re: Are we ready for 4.0.0 (GA) ? As the list of flaky tests was filtered out I wanted to add some information about the test that revealed real issues. First there was a mistake: only 3 of the issues were revealed by flaky tests. The other one was a user report. and CASSANDRA-16668 (which was a pretty hard to hit bug). I totally agree that we found some real issues but the cost is pretty high: 2 months of work for two 4.0 issues. I had a look this morning at how many users reported bugs on the RC-2 release. Outside of the people deeply involved in this project there were only 4 people reporting true issues and all of the issues were relatively minors. I totally understand that we want to deliver a high quality product. I just believe that we have to draw the line at some point. The popularity of Cassandra has been going down for years ( https://db-engines.com/en/ranking_trend/system/Cassandra). The project might need that release more than any bug fix we can do. Le mar. 15 juin 2021 � 07:00, Dinesh Joshi a �crit :",not-ak,Re: Are we ready for 4.0.0 (GA) ?
399,"Re: Are we ready for 4.0.0 (GA) ? Based on the release lifecycle[1], we should cut another RC until we don�t find any blocking issues. Dinesh [1] https://cwiki.apache.org/confluence/pages/viewpage.action?pageId=132320437",not-ak,Re: Are we ready for 4.0.0 (GA) ?
400,"Re: Are we ready for 4.0.0 (GA) ? A second RC is appropriate given the revert of CASSANDRA-15899 necessitated by the discovery of CASSANDRA-16735: Adding columns via ALTER TABLE can generate corrupt sstables. Ekaterina and Benedict's statement regarding the true positive rate of flaky tests also shows the value of resolving these, and that it would be good to pay this down as far as we can reasonably do so without unnecessarily withholding the release. I do think it's possible that an RC2 build is a candidate for nomination as our GA release. I don't think the RC2 phase needs to be drawn-out, but believe it would build confidence for the project to have positive feedback from a release containing the fix for C-16735. If work paying down the remaining flaky tests surfaces a similar true positive rate, a third build might be warranted, and it would be to the benefit of our users - but I don't think we're far off. I hope others are working to deploy the beta/RC builds and integrate + deploy changes from trunk into the releases they're deploying, as heavy contributors doing so provides us the best opportunity to catch these issues before our users do. We're getting close. ________________________________________ ",not-ak,Re: Are we ready for 4.0.0 (GA) ?
401,"Re: Are we ready for 4.0.0 (GA) ? A rate of 4/30 is a rate of 13% true bugs, which worries me with respect to our promise of shipping a bug-free GA. In past releases we have ensured no flaky tests, I think. That said, I�ve not had the time to contribute to the fixing of flaky tests, so I�ll leave the decision to those who have, or otherwise have a strong opinion. ",not-ak,Re: Are we ready for 4.0.0 (GA) ?
402,"Re: Are we ready for 4.0.0 (GA) ? --------------------------------------------------------------------- To unsubscribe, e-mail: dev-unsubscribe@cassandra.apache.org For additional commands, e-mail: dev-help@cassandra.apache.org",not-ak,Re: Are we ready for 4.0.0 (GA) ?
403,"Re: Are we ready for 4.0.0 (GA) ? To the point of ""long-term observability over flakies"": I will mention here that we intend to deploy a tool called Butler that we have developed and used internally for a while. It compliments Jenkins to present different views of test results, allowing developers to better ascertain those tests that are flaky vs failing vs new regressions. We already have a server provisioned for public hosting. The application requires a bit of work to generalize for this project. We've been putting it on while focused on getting 4.0 over the line, but should be getting to it soon after. ",executive,Re: Are we ready for 4.0.0 (GA) ?
404,"Are we ready for 4.0.0 (GA) ? Are we ready to cut 4.0.0 (GA) once the following tickets land? CASSANDRA-16733 � Allow operators to disable 'ALTER ... DROP COMPACT STORAGE' statements"" CASSANDRA-16669 � Password obfuscation for DCL audit log statements CASSANDRA-16735 � Adding columns via ALTER TABLE can generate corrupt sstables A bit more background. 1. On our 4.0 GA board there's a few other tickets, which have priority but are not blockers for a GA release. https://issues.apache.org/jira/secure/RapidBoard.jspa?rapidView=355&quickFilter=1661 CASSANDRA-16715 � WEBSITE - June 2021 updates CASSANDRA-12519 � dtest failure in offline_tools_test.TestOfflineTools.sstableofflinerelevel_test CASSANDRA-16681 � org.apache.cassandra.utils.memory.LongBufferPoolTest - tests are flaky CASSANDRA-16689 � Flaky LeaveAndBootstrapTest 2. We also said we would get 5 green CI runs in a row. Progress on that front has been slow and risks delaying GA and our user base. It has had priority and there's been lots of momentum which is persisting: lots of flaky fixes committed; and the following are being discussed to keep pushing it in the right direction� - Long-term observability over flakies - Jenkins agent observability (infra stability) The past weeks has seen good progress on stability of ci-cassandra.a.o with the introduction of cpu docker limits imposed, and better monitoring of the agents so we can ensure we get the saturation and load we want. Dockerising the cqlshlib tests is also in progress. The alternative to a 4.0.0 GA release is a 4.0-rc2 release. Should the next release be: 4.0.0 (GA) or 4.0-rc2 ?",not-ak,Are we ready for 4.0.0 (GA) ?
405,"Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 +1. - Verified hashes - Confirmed native build on CentOS7 - Started kerberized cluster (using docker) - Checked NN/RBF Web UI - Ran basic Erasure Coding shell commands Thanks for the great work, Wei-Chiu. - Takanobu 2021?6?13?(?) 3:25 Vinayakumar B :",not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
406,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 +1 (Binding) 1. Built from Tag. 2. Successful Native Build on Ubuntu 20.04 3. Verified Checksums 4. Deployed the docker cluster with 3 nodes 5. Ran sample MR Jobs -Vinay ,not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
407,"Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 +1, Built from Source. Successful Native Build on Ubuntu 20.04 Verified Checksums Ran basic hdfs shell commands. Ran simple MR jobs. Browsed NN,DN,RM and NM UI. Thanx Wei-Chiu for driving the release. -Ayush --------------------------------------------------------------------- To unsubscribe, e-mail: mapreduce-dev-unsubscribe@hadoop.apache.org For additional commands, e-mail: mapreduce-dev-help@hadoop.apache.org",not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
408,"Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 +1 (binding) Eric On Tuesday, June 1, 2021, 5:29:49 AM CDT, Wei-Chiu Chuang wrote: Hi community, This is the release candidate RC3 of Apache Hadoop 3.3.1 line. All blocker issues have been resolved [1] again. There are 2 additional issues resolved for RC3: * Revert ""MAPREDUCE-7303. Fix TestJobResourceUploader failures after HADOOP-16878 * Revert ""HADOOP-16878. FileUtil.copy() to throw IOException if the source and destination are the same There are 4 issues resolved for RC2: * HADOOP-17666. Update LICENSE for 3.3.1 * MAPREDUCE-7348. TestFrameworkUploader#testNativeIO fails. (#3053) * Revert ""HADOOP-17563. Update Bouncy Castle to 1.68. (#2740)"" (#3055) * HADOOP-17739. Use hadoop-thirdparty 1.1.1. (#3064) The Hadoop-thirdparty 1.1.1, as previously mentioned, contains two extra fixes compared to hadoop-thirdparty 1.1.0: * HADOOP-17707. Remove jaeger document from site index. * HADOOP-17730. Add back error_prone *RC tag is release-3.3.1-RC3 https://github.com/apache/hadoop/releases/tag/release-3.3.1-RC3 *The RC3 artifacts are at*: https://home.apache.org/~weichiu/hadoop-3.3.1-RC3/ ARM artifacts: https://home.apache.org/~weichiu/hadoop-3.3.1-RC3-arm/ *The maven artifacts are hosted here:* https://repository.apache.org/content/repositories/orgapachehadoop-1320/ *My public key is available here:* https://dist.apache.org/repos/dist/release/hadoop/common/KEYS Things I've verified: * all blocker issues targeting 3.3.1 have been resolved. * stable/evolving API changes between 3.3.0 and 3.3.1 are compatible. * LICENSE and NOTICE files checked * RELEASENOTES and CHANGELOG * rat check passed. * Built HBase master branch on top of Hadoop 3.3.1 RC2, ran unit tests. * Built Ozone master on top fo Hadoop 3.3.1 RC2, ran unit tests. * Extra: built 50 other open source projects on top of Hadoop 3.3.1 RC2. Had to patch some of them due to commons-lang migration (Hadoop 3.2.0) and dependency divergence. Issues are being identified but so far nothing blocker for Hadoop itself. Please try the release and vote. The vote will run for 5 days. My +1 to start, [1] https://issues.apache.org/jira/issues/?filter=12350491 [2] https://github.com/apache/hadoop/compare/release-3.3.1-RC1...release-3.3.1-RC3",not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
409,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 +1 (non-binding) - verified signature and checksum - launched a single docker based cluster and ran some simple HDFS commands - build Spark master with 3.3.1 RC and : 1) run full Spark test suites and all success; 2) tested simple Spark commands against a S3 endpoint; 3) tested Spark on YARN with a simple example job. Thanks Wei-Chiu for the great work! ,not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
410,"Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 +1 Thanks for the great work, Wei-Chiu Chuang. * verified signature and checksum. * built site documentation by `mvn site` and skimmed the contents. # found that top-level index.html is not updated. * built on CentOS 8 (x86_64) and OpenJDK 8 by `mvn install -DskipTests -Pnative -Pdist`. * launched pseudo cluster with security enabled and ran sample MR jobs. * launched 3-nodes cluster with NN-HA and RM-HA and ran sample MR jobs. * built on CentOS 7 (aarch64) and OpenJDK 8 by `mvn install -DskipTests -Pnative -Pdist`. * built Hive with the patch of HIVE-24484 against hadoop-3.3.1 and ran TestMiniLlapCliDrivera (fixed by HDFS-15790). Masatake Iwasaki ",not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
411,"Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 +1 (non-binding) * Signature: ok * Checksum : ok * Rat check (1.8.0_171): ok - mvn clean apache-rat:check * Built from source (1.8.0_171): ok - mvn clean install -DskipTests * HDFS basic testing in pseudo-distributed mode: ok * Built HBase 2.4.4 with Hadoop 3.3.1 RC and tested some basic scenarios, looks good ",not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
412,"Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 +1 * Signature: ok * Checksum : ok * Rat check (1.8.0_191): ok - mvn clean apache-rat:check * Built from source (1.8.0_191): ok - mvn clean install -DskipTests Ran a ten node cluster w/ hbase on top running its verification loadings w/ (gentle) chaos. Had trouble getting the rig running but mostly pilot error and none that I could particularly attribute to hdfs after poking in logs. Messed in UI and shell some. Nothing untoward. Wei-Chiu fixed broke tests over in hbase and complete runs are pretty much there (a classic flakie seems more-so on 3.3.1... will dig in more on why). Thanks, S ",not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
413,"Re: [VOTE] Release Apache Hadoop 3.3.1 RC3 +1, binding. Awesome piece of work! I've done three forms of qualification, all related to s3 and azure storage 1. tarball validate, CLI use 2. build/test of downstream modules off maven artifacts; mine and some other ASF ones. I (and it its very much me) have broken some downstream modules tests, as I will discuss below. PRs submitted to the relevant projects 3. local rerun of the hadoop-aws and hadoop-azure test suites *Regarding issues which surfaced* Wei-Chiu: can you register your private GPG key with the public keystores? The gpg client apps let you do this? Then we can coordinate signing each other's keys Filed PRs for the test regressions: https://github.com/apache/hbase-filesystem/pull/23 https://github.com/GoogleCloudDataproc/hadoop-connectors/pull/569 *Artifact validation* SHA checksum good: shasum -a 512 hadoop-3.3.1-RC3.tar.gz b80e0a8785b0f3d75d9db54340123872e39bad72cc60de5d263ae22024720e6e824e022090f01e248bf105e03b0f06163729adbe15b5b0978bae0447571e22eb hadoop-3.3.1-RC3.tar.gz GPG: trickier, because Wei-Chiu wasn't trusted gpg: assuming signed data in 'hadoop-3.3.1-RC3.tar.gz' gpg: Signature made Tue Jun 1 11:00:41 2021 BST gpg: using RSA key CD32D773FF41C3F9E74BDB7FB362E1C021854B9D gpg: requesting key 0xB362E1C021854B9D from hkps server hkps.pool.sks-keyservers.net gpg: Can't check signature: No public key *Wei-Chiu: can you add your public keys to the GPG key servers* To validate the keys I went to the directory where I have our site under svn (https://dist.apache.org/repos/dist/release/hadoop/common) , and, after reinstalling svn (where did it go? when did it go?) did an svn update to get the keys Did a gpg import of the KEYS file, added gpg: key 0x386D80EF81E7469A: public key ""Brahma Reddy Battula (CODE SIGNING KEY) "" imported gpg: key 0xFC8D04357BB49FF0: public key ""Sammi Chen (CODE SIGNING KEY) < sammichen@apache.org>"" imported gpg: key 0x36243EECE206BB0D: public key ""Masatake Iwasaki (CODE SIGNING KEY) "" imported *gpg: key 0xB362E1C021854B9D: public key ""Wei-Chiu Chuang >"" imported* This time an import did work, but Wei-Chiu isn't trusted by anyone yet gpg --verify hadoop-3.3.1-RC3.tar.gz.asc gpg: assuming signed data in 'hadoop-3.3.1-RC3.tar.gz' gpg: Signature made Tue Jun 1 11:00:41 2021 BST gpg: using RSA key CD32D773FF41C3F9E74BDB7FB362E1C021854B9D gpg: Good signature from ""Wei-Chiu Chuang "" [unknown] gpg: WARNING: This key is not certified with a trusted signature! gpg: There is no indication that the signature belongs to the owner. Primary key fingerprint: CD32 D773 FF41 C3F9 E74B DB7F B362 E1C0 2185 4B9D (Wei-Chiu, let's coordinate signing each other's public keys via a slack channel; you need to be in the apache web of trust) (5 seconds) cd into the hadoop dir; cp my confs in: cp ~/(somewhere)/hadoop-conf/* etc/hadoop/ cp the hadoop-azure dependencies from share/hadoop/tools/lib/ to share/hadoop/common/lib (products built targeting Azure put things there) run: all the s3a ""qualifying an AWS SDK update"" commands https://hadoop.apache.org/docs/current/hadoop-aws/tools/hadoop-aws/testing.html#Qualifying_an_AWS_SDK_Update run: basic abfs:// FS operations; again no problems. FWIW I think we should consider having the hadoop-aws module and dependencies, and the aws ones in hadoop-common/lib. I can get them there through env vars and the s3guard shell sets things up, but azure is fiddly. *Build and test cloudstore JAR; invoke from CLI* This is my cloud-storage extension library https://github.com/steveloughran/cloudstore I've always intended to put it into hadoop, but as it is where a lot of diagnostics and quick way to put together fixes ""here's a faster du (""dux"""") https://github.com/steveloughran/cloudstore.git modify the hadoop-3.3 profile to use 3.3.1 artifacts, then build with snapshots enabled. Because I'd not (yet) built any 3.3.1 artifacts locally, this fetched them from maven staging mvn package -Phadoop-3.3 -Pextra -Psnapshots-and-staging Set up env var $CLOUDSTORE to point to JAR; $BUCKET to s3a bucket, run various commands (storediag, cloudup, ...). As an example, here's the ""dux"" command, which is ""hadoop fs -du"" with parallel scan underneath the dir for better scaling bin/hadoop jar $CLOUDSTORE dux -threads 64 -limit 1000 -verbose s3a://stevel-london/ output is in https://gist.github.com/steveloughran/664d30cef20f605f3164ad01f92a458a *Build and (unit test) google GCS: * Two test failures, one of which was classpath related and the other just a new rename contract test needing a new setting in gs.xml to declare what rename of file over file does. Everything is covered in: https://github.com/GoogleCloudDataproc/hadoop-connectors/pull/569 Classpath: assertJ not coming through hadoop-common-test JAR dependencies. [ERROR] com.google.cloud.hadoop.fs.gcs.contract.TestInMemoryGoogleContractRootDirectory.testSimpleRootListing Time elapsed: 0.093 s <<< ERROR! java.lang.NoClassDefFoundError: org/assertj/core/api/Assertions Caused by: java.lang.ClassNotFoundException: org.assertj.core.api.Assertions Happens because I added some tests to the AbstractContractRenameTest which use assertJ assertions. Assertj is declared in test scope for hadoop-common test JAR, it's somehow not propagating. HBoss has the same issue. org.assertj assertj-core test I really don't understand what is up with our declared exports; just reviewed them. Nothing we can do about it that I can see. Rename test failure is from a new test, with the expected behaviour needing definition. [ERROR] Failures: [ERROR] TestInMemoryGoogleContractRename>AbstractContractRenameTest.testRenameFileOverExistingFile:131->Assert.fail:89 expected rename(gs://fake-in-memory-test-bucket/contract-test/source-256.txt, gs://fake-in-memory-test-bucket/contract-test/dest-512.txt) to be rejected with exception, but got false Fix, add ""fs.contract.rename-returns-false-if-dest-exists"" = true to the XML contract. *Build and test HBoss* This is the HBase extension to use ZK to lock file accesses on S3 I've broken their build through to changes to the internal S3 client factory as some new client options were passed down (HADOOP-13551). That change moved to a new build parameter object, so we can add future changes without breaking the signature again (mehakmeet already has in HADOOP-17705) https://issues.apache.org/jira/browse/HBASE-25900 Got an initial PR up, though will need to do more so that it will also compile/test against older builds https://github.com/apache/hbase-filesystem/pull/23 *Build spark, then test S3A Committers through it* Build spark-3 against 3.3.1, then ran integration tests against S3 london Test are in: https://github.com/hortonworks-spark/cloud-integration.git Most of an afternoon was frittered away dealing with the fact that the spark version move (2.4 to 3.2) meant scalatest upgrade from 3.0 to 3.20 **and every single test failed to compile because the scalatest project moved the foundational test suite into a new package**. I had to do that same upgrade to test my WiP manifest committer (MAPREDUCE-7341) against ABFS, so it's not completely wasted. It does mean that module and tests is scala 3+ only. hadoop-aws and hadoop-azure test suites For these I checked out branch-3.3.1, rebuilt it and ran the test suites in the hadoop-azure and hadoop-aws modules. This triggered a rebuild of those two modules. I did this after doing all the other checks, so everything else was qualified against the genuine RC3 artifacts. hadoop-aws run 1: -Dparallel-tests -DtestsThreadCount=5 -Dmarkers=keep run 2: -Dparallel-tests -DtestsThreadCount=6 -Ds3guard -Dscale -Ddynamo azure -Dparallel-tests=abfs -DtestsThreadCount=5 -Dscale [ERROR] Errors: [ERROR] ITestAbfsFileSystemContractSecureDistCp>AbstractContractDistCpTest.testDistCpWithIterator:642 � TestTimedOut [INFO] This is https://issues.apache.org/jira/browse/HADOOP-17628 Overall then: 1. All production code good. 2. some expansion of filesystem tests require some changes downstream, and the change in the S3Client from HADOOP-13551 the HBoss tests using an internal interface from compiling. The move to a parameter object (and documenting this use) is intended to prevent this reoccurring.",not-ak,Re: [VOTE] Release Apache Hadoop 3.3.1 RC3
